"","pa","daily_sample_size_ofensive","freq_daily_sample_size_ofensive","acc_ofensive"
"199",0.28,950,1655,0.9034
"200",0.29,900,1559,0.9031
"201",0.3,850,1471,0.8996
"202",0.31,800,1391,0.9021
"203",0.32,800,1316,0.9062
"204",0.33,750,1247,0.9029
"205",0.34,750,1184,0.9059
"206",0.35,700,1124,0.9052
"207",0.36,700,1069,0.9091
"208",0.37,650,1018,0.9002
"209",0.38,600,970,0.9045
"210",0.39,600,925,0.9117
"211",0.4,600,883,0.9136
"212",0.41,550,844,0.9082
"213",0.42,500,807,0.9018
"214",0.43,500,772,0.9072
"215",0.44,500,739,0.9101
"216",0.45,450,708,0.9026
"217",0.46,450,679,0.9034
"218",0.47,400,651,0.8994
"219",0.48,400,625,0.9045
"220",0.49,400,600,0.9108
"221",0.5,400,576,0.9139
"222",0.51,350,553,0.9046
"223",0.52,350,532,0.9067
"224",0.53,350,511,0.9131
"225",0.54,350,491,0.9158
"226",0.55,300,473,0.9012
"227",0.56,300,455,0.9114
"228",0.57,300,438,0.9149
"229",0.58,300,421,0.9133
"230",0.59,250,406,0.9044
"231",0.6,250,390,0.9062
"232",0.61,250,376,0.9119
"233",0.62,250,362,0.9165
"234",0.63,250,348,0.925
"235",0.64,200,336,0.9011
"236",0.65,200,323,0.908
"237",0.66,200,311,0.906
"238",0.67,200,299,0.917
"239",0.68,200,288,0.9222
"240",0.69,200,277,0.9296
"241",0.7,200,267,0.9333
"242",0.71,150,257,0.9018
"243",0.72,150,247,0.9112
"244",0.73,150,237,0.9182
"245",0.74,150,228,0.9265
"246",0.75,150,218,0.9283
"247",0.76,150,210,0.9305
"248",0.77,150,201,0.9344
"249",0.78,100,192,0.9048
"250",0.79,100,184,0.9102
"251",0.8,100,176,0.9203
"252",0.81,100,168,0.9215
"253",0.82,100,160,0.9282
"254",0.83,100,153,0.9394
"255",0.84,100,145,0.9444
"256",0.85,100,137,0.9397
"257",0.86,100,130,0.9573
"258",0.87,NA,123,NA
"259",0.88,NA,NA,NA
"260",0.89,NA,NA,NA
"261",0.9,NA,NA,NA
"262",0.91,NA,NA,NA
"263",0.92,NA,NA,NA
"264",0.93,NA,NA,NA
"265",0.94,NA,NA,NA
"266",0.95,NA,NA,NA
